account_id,username,platform,follower_count,posts_per_week,engagement_rate,ad_spend_(usd),conversion_rate,campaign_reach,follower_category,engagement_level,posting_intensity
170,graymelinda,Twitter,475258,7,0.0834,894.32,0.0443,38430,Medium,Low,High
171,deandawn,Twitter,557341,4,0.0642,683.21,0.0175,45928,Medium,Low,Medium
172,hernandezvanessa,Twitter,544313,5,0.102,847.14,0.0499,42029,Medium,High,Medium
173,xshort,Facebook,913122,3,0.0856,893.56,0.0429,31810,Large,Medium,Low
174,palmerjeffrey,TikTok,971217,5,0.0856,899.04,0.0287,42862,Large,Medium,Medium
175,snicholson,Instagram,604800,5,0.0834,356.29,0.0283,22920,Medium,Low,Medium
176,ashleyzuniga,Instagram,596094,6,0.0642,975.52,0.0288,3997,Medium,Low,High
177,lisabarber,Instagram,572735,5,0.0856,677.17,0.0478,49947,Medium,Medium,Medium
178,danielharper,Instagram,624611,7,0.102,99.67,0.0186,33974,Medium,High,High
179,davisjose,Twitter,250150,3,0.0834,685.4,0.0226,43774,Small,Low,Low
180,brittney04,LinkedIn,303677,1,0.102,103.1,0.0397,8240,Small,High,Low
181,fshaw,TikTok,345342,6,0.0834,298.05,0.0105,30988,Medium,Low,High
182,hardyalexander,TikTok,213900,6,0.0834,748.78,0.0314,22660,Small,Low,High
183,adam63,LinkedIn,731406,3,0.0642,647.76,0.0286,33065,Large,Low,Low
184,jay23,Instagram,5171,6,0.0834,548.59,0.0108,2979,Small,Low,High
185,flowerschristine,TikTok,107068,2,0.102,537.38,0.0489,6762,Small,High,Low
186,muellerolivia,TikTok,647379,6,0.0986,836.59,0.0409,10538,Medium,Medium,High
187,xroberts,Facebook,351443,6,0.0986,285.16,0.0181,37625,Medium,Medium,High
188,henrydominique,Facebook,45224,1,0.0856,539.69,0.0186,11396,Small,Medium,Low
189,bradleyfox,Instagram,372268,1,0.0856,224.07,0.0119,40384,Medium,Medium,Low
190,grayrachel,Instagram,262058,1,0.0834,395.39,0.0354,25985,Small,Low,Low
191,ujones,LinkedIn,785527,2,0.102,441.13,0.0389,23393,Large,High,Low
192,bclark,TikTok,606644,2,0.0986,129.24,0.0238,8356,Medium,Medium,Low
193,robertsanders,Twitter,71024,4,0.102,695.81,0.0218,41954,Small,High,Medium
194,bprice,TikTok,940065,5,0.0834,742.16,0.048,31982,Large,Low,Medium
195,meghan87,TikTok,150329,1,0.0642,307.41,0.0167,14106,Small,Low,Low
196,nponce,TikTok,402485,3,0.0856,802.17,0.0477,19892,Medium,Medium,Low
197,montgomeryjaime,Twitter,764232,2,0.0856,594.15,0.0363,45078,Large,Medium,Low
198,michael40,Twitter,754964,5,0.0642,985.34,0.0241,33615,Large,Low,Medium
199,medinanatalie,Facebook,543023,6,0.0986,710.67,0.0385,10045,Medium,Medium,High
200,daltonmichael,Instagram,693011,1,0.0986,195.91,0.023,43750,Large,Medium,Low
201,jennifer98,Facebook,145171,7,0.0856,521.96,0.0263,4284,Small,Medium,High
202,plindsey,Instagram,815150,2,0.0834,693.78,0.046,14963,Large,Low,Low
203,uclark,Instagram,734348,5,0.0986,335.78,0.0499,1088,Large,Medium,Medium
204,anthonywilliams,Facebook,335067,6,0.0642,506.57,0.0105,40981,Small,Low,High
205,kristinemalone,Facebook,801977,1,0.0834,511.43,0.048,38011,Large,Low,Low
206,kevin80,Instagram,88318,7,0.0986,376.93,0.0263,33009,Small,Medium,High
207,smithedward,TikTok,598481,4,0.0856,713.9,0.0416,2292,Medium,Medium,Medium
208,michelle11,Facebook,794085,1,0.0834,602.44,0.0166,7682,Large,Low,Low
209,ybrock,Twitter,604322,3,0.0834,117.05,0.0278,28073,Medium,Low,Low
210,sophia02,Instagram,528324,3,0.0642,991.96,0.024,13915,Medium,Low,Low
211,ggonzalez,TikTok,889267,2,0.0834,139.63,0.0494,7764,Large,Low,Low
212,michaellopez,TikTok,41077,5,0.102,797.64,0.0188,16563,Small,High,Medium
213,lisa91,TikTok,430258,6,0.0856,808.23,0.0429,1796,Medium,Medium,High
214,michellemcdaniel,TikTok,272060,5,0.0642,610.44,0.0114,2452,Small,Low,Medium
215,sbyrd,Twitter,10395,3,0.0834,926.97,0.0421,2146,Small,Low,Low
216,lisa14,Instagram,854968,6,0.0642,340.68,0.0161,31251,Large,Low,High
217,belinda51,Facebook,653937,1,0.0856,804.4,0.0143,28682,Medium,Medium,Low
218,davisjose,Instagram,436372,7,0.102,973.57,0.0487,32455,Medium,High,High
219,hawkinskelly,Facebook,304576,5,0.0834,951.65,0.0393,25744,Small,Low,Medium
220,ulandry,TikTok,742078,5,0.0642,690.0,0.0375,6064,Large,Low,Medium
221,elaine15,LinkedIn,576425,1,0.102,754.41,0.0237,35128,Medium,High,Low
222,zjones,TikTok,546013,6,0.0986,915.43,0.0164,26529,Medium,Medium,High
223,morgan06,Instagram,574401,3,0.102,206.84,0.0328,1132,Medium,High,Low
224,patrick36,LinkedIn,781153,6,0.0642,508.6,0.0455,24014,Large,Low,High
225,robert31,Facebook,484944,6,0.0834,822.81,0.0439,15148,Medium,Low,High
226,nelsonalfred,LinkedIn,893363,3,0.0834,440.37,0.0272,9399,Large,Low,Low
227,johnwilkinson,TikTok,419529,6,0.0834,669.64,0.0334,28327,Medium,Low,High
228,smithtimothy,Twitter,529600,1,0.0834,969.09,0.0464,35100,Medium,Low,Low
229,michael16,Facebook,12415,5,0.0986,510.8,0.0293,26491,Small,Medium,Medium
230,mariahbell,TikTok,4479,5,0.0986,405.74,0.0337,3132,Small,Medium,Medium
231,tylermartin,Facebook,589223,5,0.0986,321.64,0.02,11524,Medium,Medium,Medium
232,rachelgutierrez,Facebook,829170,2,0.102,614.04,0.0318,24964,Large,High,Low
233,novakjennifer,Twitter,517649,6,0.102,515.08,0.0344,45631,Medium,High,High
234,dixonjulie,Twitter,579652,3,0.0834,826.95,0.0192,17730,Medium,Low,Low
235,martinerica,TikTok,954296,6,0.102,555.7,0.0474,11269,Large,High,High
236,vmorales,LinkedIn,602486,2,0.0642,500.37,0.0329,5842,Medium,Low,Low
237,joshuabailey,Instagram,633296,4,0.102,225.29,0.0118,37236,Medium,High,Medium
238,colestevens,LinkedIn,101171,3,0.0642,867.62,0.044,1343,Small,Low,Low
239,lewisjessica,Instagram,854960,5,0.102,129.24,0.032,7634,Large,High,Medium
240,vbrady,TikTok,487245,4,0.0856,279.32,0.0186,6922,Medium,Medium,Medium
241,mcdonaldnancy,Instagram,929908,1,0.0986,233.02,0.0454,46752,Large,Medium,Low
242,thammond,Facebook,294197,1,0.102,817.67,0.0314,16620,Small,High,Low
243,jeffreysalazar,Facebook,766465,7,0.0642,787.03,0.0195,21446,Large,Low,High
244,boothjacob,Facebook,798236,5,0.0986,775.38,0.0186,5520,Large,Medium,Medium
245,matthew17,Facebook,585264,4,0.0642,456.74,0.0136,24312,Medium,Low,Medium
246,thomasortega,Twitter,808429,1,0.0856,98.2,0.0436,33137,Large,Medium,Low
247,hardyalexander,Instagram,991515,1,0.0856,370.12,0.0456,3609,Large,Medium,Low
248,michaelperez,Instagram,632264,1,0.102,386.33,0.0202,35359,Medium,High,Low
249,turnerchristopher,LinkedIn,394352,5,0.102,938.02,0.0357,37401,Medium,High,Medium
250,revans,Instagram,845512,6,0.102,143.89,0.0186,19225,Large,High,High
251,dgarza,Facebook,234445,4,0.0642,563.74,0.0452,37263,Small,Low,Medium
252,christianamy,LinkedIn,922723,6,0.0834,443.29,0.0423,43521,Large,Low,High
253,fowlermichael,Twitter,767918,4,0.0856,298.95,0.0119,21790,Large,Medium,Medium
254,keithkeith,Twitter,241032,2,0.0986,335.78,0.0261,23711,Small,Medium,Low
255,jonathanherman,LinkedIn,124285,5,0.102,682.47,0.0221,28107,Small,High,Medium
256,fduffy,LinkedIn,361244,4,0.0834,361.46,0.0264,5927,Medium,Low,Medium
257,hellis,TikTok,234063,4,0.0642,81.51,0.0497,2772,Small,Low,Medium
258,lesliepennington,Twitter,446644,6,0.0986,435.65,0.0115,22658,Medium,Medium,High
259,julie05,Facebook,626811,2,0.0642,99.67,0.0364,26699,Medium,Low,Low
260,kaitlynvalentine,Instagram,853558,5,0.0834,841.85,0.0225,12896,Large,Low,Medium
261,alyssa15,TikTok,300547,1,0.0642,153.65,0.0123,20475,Small,Low,Low
262,ellenmitchell,Facebook,627045,6,0.0642,122.95,0.0223,48059,Medium,Low,High
263,simmonscarrie,Facebook,215970,1,0.0834,51.95,0.0128,9033,Small,Low,Low
264,eriknelson,Instagram,796838,3,0.102,596.52,0.0365,48992,Large,High,Low
265,francessullivan,Instagram,108153,7,0.102,892.6,0.0245,44313,Small,High,High
266,davidsmith,TikTok,723665,5,0.0856,228.19,0.0418,45663,Large,Medium,Medium
267,danielanderson,TikTok,983458,5,0.0642,584.37,0.0284,29396,Large,Low,Medium
268,yrodriguez,Twitter,991970,4,0.0986,584.95,0.0143,32529,Large,Medium,Medium
269,ireyes,Facebook,986829,1,0.0642,858.82,0.0439,37566,Large,Low,Low
270,adamjohnson,Facebook,902245,7,0.0642,413.32,0.0274,12529,Large,Low,High
271,hamiltonjessica,Facebook,575689,5,0.0986,53.54,0.0193,40692,Medium,Medium,Medium
272,herbertallen,Twitter,749785,7,0.102,903.94,0.0117,17276,Large,High,High
273,jbonilla,TikTok,320413,4,0.0834,400.61,0.0245,39316,Small,Low,Medium
274,stephen63,TikTok,950724,7,0.0856,556.13,0.0223,42990,Large,Medium,High
275,ryan99,Twitter,81086,3,0.0834,367.56,0.024,18581,Small,Low,Low
276,sharondillon,Twitter,99943,1,0.0986,375.55,0.011,4181,Small,Medium,Low
277,ntodd,LinkedIn,908448,3,0.0834,907.05,0.0342,36260,Large,Low,Low
278,amberhanson,Instagram,538566,3,0.0986,385.8,0.0471,30895,Medium,Medium,Low
279,jason52,LinkedIn,98929,2,0.0986,992.22,0.0161,7837,Small,Medium,Low
280,wmaxwell,Twitter,326440,3,0.0642,286.58,0.0275,13011,Small,Low,Low
281,nponce,Facebook,927638,5,0.0642,397.29,0.0364,29210,Large,Low,Medium
282,kristinemalone,LinkedIn,826398,1,0.102,214.78,0.0397,28754,Large,High,Low
283,aramos,Twitter,253351,1,0.0986,682.58,0.0227,39871,Small,Medium,Low
284,gtorres,Twitter,264193,2,0.0834,694.28,0.0276,31196,Small,Low,Low
285,robertmorris,TikTok,702687,1,0.0856,276.36,0.05,2250,Large,Medium,Low
286,jade86,LinkedIn,786413,1,0.0986,643.4,0.0384,38738,Large,Medium,Low
287,vanessa81,Instagram,891869,3,0.0856,852.45,0.0381,10116,Large,Medium,Low
288,thomasortega,Facebook,762047,2,0.0856,924.61,0.0496,1889,Large,Medium,Low
289,claudiaferrell,Instagram,300664,2,0.0856,160.86,0.0379,14442,Small,Medium,Low
290,ntodd,Twitter,143737,1,0.0834,264.48,0.0306,1532,Small,Low,Low
291,pbrooks,TikTok,167473,1,0.0834,982.66,0.0267,27859,Small,Low,Low
292,johnsongregory,Twitter,239471,5,0.0642,182.75,0.0167,22882,Small,Low,Medium
293,ronnieperry,Twitter,526238,1,0.0986,969.88,0.0448,11029,Medium,Medium,Low
294,jbonilla,Facebook,552286,5,0.0642,262.66,0.0114,33363,Medium,Low,Medium
295,jefferygarcia,Instagram,517478,6,0.0986,429.01,0.0326,44139,Medium,Medium,High
296,gmcintosh,Twitter,667504,4,0.0986,539.69,0.0163,5542,Medium,Medium,Medium
297,mcurtis,TikTok,21353,2,0.102,452.19,0.0175,6764,Small,High,Low
298,roger15,Instagram,544284,7,0.0834,986.41,0.0451,48280,Medium,Low,High
299,tonyaevans,TikTok,968739,4,0.0834,105.12,0.0175,18437,Large,Low,Medium
300,sparker,Facebook,147468,4,0.0834,611.1,0.0163,11168,Small,Low,Medium
301,courtneysanchez,Facebook,256472,1,0.102,602.23,0.0112,41123,Small,High,Low
302,karen03,TikTok,705478,1,0.102,640.55,0.0459,25935,Large,High,Low
303,mfreeman,Twitter,335351,5,0.0834,612.83,0.0116,1325,Small,Low,Medium
304,simmonscarrie,Twitter,479132,4,0.0986,928.25,0.0101,6847,Medium,Medium,Medium
305,martinjoseph,LinkedIn,479578,2,0.0986,600.01,0.04,33066,Medium,Medium,Low
306,tmcdaniel,Instagram,573087,5,0.102,287.9,0.0497,5342,Medium,High,Medium
307,smack,Twitter,898342,3,0.0834,110.12,0.0279,27850,Large,Low,Low
308,blackwellandrew,Twitter,768690,7,0.0856,667.05,0.0341,19054,Large,Medium,High
309,valdezjessica,Facebook,791365,2,0.0642,572.3,0.0466,40351,Large,Low,Low
310,james82,TikTok,113083,7,0.0642,926.61,0.0109,24693,Small,Low,High
311,marcoporter,Twitter,27952,4,0.102,238.51,0.0205,46128,Small,High,Medium
